City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
190,kenai,60.5544,-151.2583,276.2,98,100,2.06,US,1712879540
191,tiksi,71.6872,128.8694,248.74,93,22,6.38,RU,1712879378
192,enewetak,11.3474,162.3373,300.06,79,96,9.21,MH,1712879653
193,minot air force base,48.4209,-101.3391,286.2,39,75,7.2,US,1712879653
194,hilo,19.7297,-155.09,297.38,98,100,2.68,US,1712879508
195,kargopol',61.5071,38.9456,275.76,87,65,5.38,RU,1712879653
196,labytnangi,66.6572,66.4183,266.69,95,100,5.38,RU,1712879653
197,lhokseumawe,5.1801,97.1507,297.84,88,28,2.41,ID,1712879653
198,fortuna,40.5982,-124.1573,288.11,78,20,6.69,US,1712879653
199,gizo,-8.103,156.8419,301.94,76,89,1.96,SB,1712879653
200,lebu,-37.6167,-73.65,284.14,93,1,2.15,CL,1712879653
201,holualoa,19.6228,-155.9522,298.46,70,100,2.57,US,1712879654
202,bathsheba,13.2167,-59.5167,301.49,74,20,7.72,BB,1712879654
203,cape coast,5.1053,-1.2466,300.77,82,100,1.64,GH,1712879654
204,fedorovskiy,45.0972,40.9517,285.81,71,99,3.08,RU,1712879654
205,codrington,-38.2667,141.9667,288.94,58,99,3.69,AU,1712879654
206,imishli,39.8709,48.06,286.37,78,100,4.64,AZ,1712879654
207,la passe,45.5549,-0.8967,285.36,93,41,3.06,FR,1712879385
208,sao marcos,-28.9711,-51.0681,290.48,99,100,1.77,BR,1712879654
209,homer,59.6425,-151.5483,277.62,62,100,4.63,US,1712879654
210,rio gallegos,-51.6226,-69.2181,282.18,46,20,7.2,AR,1712879479
211,santiago del torno,-17.9833,-63.3833,297.57,91,94,2.64,BO,1712879654
212,pospelikha,51.95,81.7667,271.03,77,92,4.5,RU,1712879654
213,birjand,32.8663,59.2211,287.41,67,75,3.09,IR,1712879654
214,sinabang,2.4803,96.3801,299.79,83,100,1.53,ID,1712879618
215,shalqar,47.8333,59.6,278.45,71,1,3.45,KZ,1712879397
216,meadow lakes,61.6247,-149.6011,278.55,58,100,3.09,US,1712879654
217,ingeniero jacobacci,-41.3427,-69.5448,278.54,75,99,6.19,AR,1712879655
218,luz,-19.8014,-45.6856,295.63,83,32,0.85,BR,1712879655
219,buruenesti,45.3167,26.35,286.85,73,6,2.06,RO,1712879655
220,amarkantak,22.6667,81.75,290.69,61,78,0.81,IN,1712879655
221,martigny-ville,46.1028,7.0725,288.39,80,82,3.51,CH,1712879655
222,flying fish cove,-10.4217,105.6791,299.97,83,75,3.6,CX,1712879622
223,udachny,66.4167,112.4,248.95,98,96,2.68,RU,1712879655
224,lumut,4.2323,100.6298,298.16,94,20,0.0,MY,1712879655
225,saint-joseph,-21.3667,55.6167,298.36,84,39,0.64,RE,1712879655
226,thompson,55.7435,-97.8558,274.24,75,100,3.6,CA,1712879655
227,churapcha,62.0025,132.4325,273.05,100,100,3.68,RU,1712879655
228,chui,-33.6971,-53.4616,290.89,56,98,3.58,UY,1712879656
229,cajabamba,-7.6167,-78.05,288.87,82,93,0.28,PE,1712879656
230,muscat,23.6139,58.5922,304.16,52,83,0.73,OM,1712879400
231,ormara,25.2088,64.6357,298.83,81,1,0.35,PK,1712879656
232,gao,16.6362,1.637,304.09,9,78,4.08,ML,1712879656
233,edson,53.5835,-116.4356,284.23,30,40,4.12,CA,1712879656
234,bikenibeu village,1.3673,173.1241,304.13,74,20,3.09,KI,1712879656
235,atlantis,-33.5667,18.4834,288.14,76,7,3.74,ZA,1712879656
236,praia da vitoria,38.7333,-27.0667,289.68,94,75,2.66,PT,1712879656
237,nouadhibou,20.931,-17.0347,292.14,88,0,3.6,MR,1712879656
238,hasaki,35.7333,140.8333,291.09,82,100,5.29,JP,1712879656
239,vila franca do campo,37.7167,-25.4333,291.42,99,45,1.81,PT,1712879656
240,yekaterinovka,52.0508,44.3451,288.23,74,100,3.1,RU,1712879656
241,belyy yar,53.6039,91.3903,271.09,86,40,2.0,RU,1712879657
242,santiago de cao,-7.9589,-79.2392,295.22,88,40,5.14,PE,1712879657
243,ghadamis,30.1337,9.5007,286.97,72,73,11.47,LY,1712879657
244,spas-klepiki,55.1347,40.1767,282.55,80,10,2.58,RU,1712879657
245,romny,50.751,33.4747,285.65,67,68,3.22,UA,1712879657
246,chateaudun,48.0833,1.3333,285.7,90,100,2.49,FR,1712879657
247,nema,57.5067,50.5011,278.48,89,2,4.39,RU,1712879657
248,mutoko,-17.397,32.2268,288.63,90,100,1.75,ZW,1712879657
249,colonia,50.9333,6.95,288.05,82,100,0.51,DE,1712879464
250,agat village,13.3886,144.6585,302.67,80,40,6.17,GU,1712879623
251,pocone,-16.2567,-56.6228,297.49,86,100,2.37,BR,1712879441
252,brookings,44.3114,-96.7984,284.36,51,75,10.29,US,1712879360
253,katsuura,35.1333,140.3,288.16,87,100,6.12,JP,1712879641
254,hammerfest,70.6634,23.6821,274.4,80,100,3.09,NO,1712879422
255,aykhal,66.0,111.5,250.55,93,86,2.3,RU,1712879658
256,iranshahr,27.2025,60.6848,299.38,42,36,0.95,IR,1712879658
257,okhotsk,59.3833,143.3,270.75,91,81,1.46,RU,1712879658
